filename,width,height,mode,mean_intensity,std_intensity,min_intensity,max_intensity,entropy,sharpness,has_nan
J165900.16+250748.0.jpg,800,800,RGB,40.21690104166667,31.617174736416978,0,255,6.430391944759608,13708.388337909999,False
J143258.53+062003.1.jpg,800,800,RGB,39.3588671875,30.651405882453457,0,255,6.45390628311805,14205.249094665,False
J102921.99+120701.0.jpg,800,800,RGB,39.09294375,31.46313164842309,0,255,6.587044282991127,12994.542525140001,False
J110219.37+441938.5.jpg,800,800,RGB,41.138675,31.271781783439227,0,255,6.25840357227594,14355.61770625,False
J101010.85-000636.7.jpg,800,800,RGB,43.81469375,33.77357784647703,0,255,6.672667557155434,14289.970966064999,False
J125927.05+235510.1.jpg,800,800,RGB,38.878008854166666,27.76625732367445,0,255,6.4880344314707985,13704.07939044,False
J083812.51+002459.0.jpg,800,800,RGB,44.963945833333334,32.983295426327544,0,255,6.67058839402214,13461.769498935002,False
J144154.59+222820.7.jpg,800,800,RGB,41.40287291666667,30.26701968996975,0,255,6.563762029453441,13303.799941415,False
J114319.19+262512.4.jpg,800,800,RGB,45.6258484375,36.29961502154596,0,255,6.640333800955496,14044.612096609997,False
J151932.45+071951.4.jpg,800,800,RGB,42.556490625,33.246681953130604,0,255,6.58647108311011,13366.940624515,False
J120213.53+384640.0.jpg,800,800,RGB,41.305084375,29.74360744665646,0,255,6.357027468656539,14739.625181015002,False
J131825.53-004802.6.jpg,800,800,RGB,39.149324479166665,30.777000080754377,0,255,6.286963034304029,14586.337191439998,False
J105642.66+255737.3.jpg,800,800,RGB,39.503964583333335,28.201159308890343,0,255,6.5475302543632345,12315.37525804,False
J113759.77+485548.0.jpg,800,800,RGB,54.758014583333335,37.99349898249858,0,255,6.775310882518483,14254.441765560001,False
J141243.41+115456.5.jpg,800,800,RGB,46.64495572916667,36.24101952442722,0,255,6.745785949438831,13721.096668374998,False
J132749.81+324033.9.jpg,800,800,RGB,40.470069270833335,30.99710109068994,0,255,6.401938962435207,14386.71545336,False
J095319.97+204035.0.jpg,800,800,RGB,39.964663020833335,28.91246722771574,0,255,6.547970566763324,13603.10750201,False
J150505.20+365539.4.jpg,800,800,RGB,45.37600208333333,30.412843752955137,0,255,6.511422421747756,14128.143360999999,False
J122945.71+650223.2.jpg,800,800,RGB,40.42569114583333,31.26108683442072,0,255,6.4444269769909965,14242.427746240002,False
J145553.51+321040.1.jpg,800,800,RGB,41.9797609375,34.22763056400753,0,255,6.636236894821546,14047.384530964997,False
J113905.97+494834.2.jpg,800,800,RGB,40.78040989583333,29.53004530133085,0,255,6.412331278928647,14617.040228125,False
J093449.79+022215.4.jpg,800,800,RGB,40.926995833333336,27.920643098192585,0,255,6.505502745855327,13812.773290564995,False
J084032.04+064706.2.jpg,800,800,RGB,42.6201828125,35.627713871014976,0,255,6.567744537921458,14006.6982465,False
J164615.95+384013.4.jpg,800,800,RGB,38.32732135416666,31.19006021224721,0,255,6.295339356861693,14352.410605375,False
J095713.59+242105.7.jpg,800,800,RGB,43.536366145833334,32.183249661173704,0,255,6.619483005108627,14347.175175014996,False
J081325.50+130459.8.jpg,800,800,RGB,40.1466578125,30.892591046886945,0,255,6.438794786303914,14503.038857160001,False
J125456.85+000318.5.jpg,800,800,RGB,39.0234875,30.480199231834817,0,255,6.4173573741539665,14242.520292664998,False
J113010.41+200052.7.jpg,800,800,RGB,39.15119114583333,30.77680046669225,0,255,6.4754586131797405,13772.274057335002,False
J110449.11+121853.5.jpg,800,800,RGB,42.26560677083334,28.04054113804013,0,255,6.3571744034257245,14308.720973065001,False
J203814.79+011457.2.jpg,800,800,RGB,51.99085208333333,43.17508852846304,0,255,6.658705989436458,13955.404485984998,False
J153919.60+145816.7.jpg,800,800,RGB,46.165058854166666,35.470316769384716,0,255,6.6711614931014935,14590.127224535001,False
J133740.43+595930.5.jpg,800,800,RGB,46.36874375,38.42324137871291,0,255,6.599707055278014,14568.554961159998,False
J142753.88-002930.0.jpg,800,800,RGB,38.8636921875,29.083739351387027,0,255,6.490589995556606,13308.648856,False
